anime_id,genre_id
18115,5
18115,6
18115,7
18115,9
11981,0
11981,7
11981,33
11981,15
11917,10
11917,0
11917,16
205,4
205,5
205,10
205,11
205,13
205,9
32282,35
32282,2
32282,9
6594,4
6594,5
6594,11
6594,27
6594,28
6594,1
11979,0
11979,7
11979,33
11979,15
7655,10
7655,0
7655,16
2246,34
2246,6
2246,11
2246,31
2246,25
2246,26
2246,3
25835,10
25835,0
2921,0
2921,16
136,4
136,5
136,9
136,17
136,18
30503,4
30503,5
30503,9
30503,3
12531,0
12531,36
12531,24
12531,1
12531,2
523,5
523,10
523,3
467,4
467,23
467,8
467,32
467,14
467,26
572,5
572,6
19815,5
19815,10
19815,35
19815,6
19815,38
19815,3
2559,5
2559,0
2559,11
2559,20
2559,21
2559,22
392,4
392,10
392,34
392,6
392,27
392,28
392,2
392,9
486,4
486,5
486,20
486,21
486,22
11771,10
11771,2
11771,9
11771,16
1698,10
1698,0
1698,36
1698,24
1698,1
1698,20
1698,21
1698,22
5341,5
5341,6
5341,11
5341,1
25781,4
25781,6
25781,30
25781,3
10863,14
10863,15
28701,4
28701,6
28701,7
28701,9
28701,3
5420,0
5420,6
9260,25
9260,3
9260,29
32,39
32,0
32,23
32,33
32,14
4224,10
4224,1
4224,2
4224,20
4224,21
4224,22
2236,5
2236,0
2236,1
2236,14
2685,4
2685,5
2685,0
2685,6
2685,1
2685,9
31181,10
31181,25
31181,3
45,4
45,5
45,10
45,11
45,1
45,13
2418,4
2418,5
2418,11
2418,13
1365,5
1365,25
1365,32
1365,9
22297,4
22297,6
22297,7
22297,9
22297,3
627,10
627,0
627,9
627,16
10937,4
10937,23
10937,8
10937,14
10937,9
10937,19
23755,4
23755,5
23755,35
23755,6
23755,9
23755,3
4081,0
4081,6
4081,30
4081,20
4081,21
4081,22
4081,3
4155,4
4155,5
4155,10
4155,0
4155,6
4155,9
1889,25
1889,33
1889,3
1889,15
137,4
137,5
137,9
137,17
137,18
139,4
139,5
139,9
139,17
139,18
23317,10
23317,34
23317,6
23317,11
23317,25
23317,9
23317,3
558,10
558,0
558,9
558,16
5040,33
5040,26
5040,16
57,10
57,0
57,24
57,9
57,20
57,21
57,22
33,4
33,5
33,34
33,0
33,6
33,31
33,8
33,1
33,26
33,3
5,4
5,0
5,25
5,14
5,19
1842,0
1842,9
1842,16
6336,4
6336,0
6336,23
6336,8
6336,14
6336,19
20651,0
20651,6
20651,30
20651,20
20651,21
20651,22
20651,3
1210,10
1210,0
1210,33
1210,1
338,5
338,0
338,11
338,1
338,30
13759,10
13759,0
13759,1
13759,2
13759,20
13759,21
13759,22
6547,4
6547,10
6547,0
6547,2
6547,3
5081,25
5081,1
5081,3
5081,29
32867,25
32867,26
32867,3
264,10
264,9
264,16
12859,4
12859,5
12859,10
12859,0
12859,6
12859,9
853,10
853,40
853,1
853,2
853,30
5460,4
5460,25
5460,32
5460,9
6746,4
6746,25
6746,3
5690,10
5690,36
5690,24
5690,1
329,0
329,1
329,14
329,26
329,19
34240,24
34240,14
513,5
513,6
513,1
513,14
6945,4
6945,10
6945,11
6945,12
6945,14
1142,0
1142,36
1142,1
6811,4
6811,5
6811,10
6811,34
6811,6
6811,7
6811,1
6811,9
6811,3
16664,6
16664,11
1604,4
1604,10
1604,9
1604,17
1604,18
22145,10
22145,34
22145,6
22145,11
22145,9
22145,3
2966,5
2966,6
2966,11
2966,1
31964,4
31964,10
31964,2
31964,9
31964,17
31964,18
19363,10
19363,2
19363,9
19363,20
19363,21
19363,22
18195,10
18195,0
18195,1
18195,2
18195,20
18195,21
18195,22
